Artist_Popularity_Score,Ticket_Price,Venue_Capacity,Concert_Sales
5,195.21,1255.64,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
10,206.17,2387.84,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
4,457.39,3597.73,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
10,363.97,1923.23,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
9,144.28,2127.1,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
6,342.02,1427.13,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
5,436.15,1447.07,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
1,390.28,3973.95,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
10,300.09,4125.7,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
3,308.46,4471.08,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
5,425.38,3551.2,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
8,191.21,4193.17,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
1,157.02,3004.69,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
4,213.3,4077.9,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
9,165.96,1292.51,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
7,293.06,4315.04,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
9,473.76,393.46,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
2,278.3,2640.96,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
9,229.34,1211.75,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
1,192.83,2038.54,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
5,360.99,2087.88,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
8,249.03,447.4,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
10,371.27,2703.33,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
10,260.94,1167.78,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
3,398.53,4267.11,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
4,192.49,4589.74,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
6,223.27,2892.9,"Syntax error in formula 'base = Venue_Capacity * (Artist_Popularity_Score / 10.0) price_penalty = (Ticket_Price - 20) * 0.3 result = (base - price_penalty + rand(-500..500)).to_i [[result, 0].max, Venue_Capacity].min'"
